zip,lat,lng,city,timezone
50001,41.3611,-93.43321,Ackworth,America/Chicago
50002,41.51236,-94.64801,Adair,America/Chicago
50003,41.61192,-94.04352,Adel,America/Chicago
50005,42.1295,-93.02683,Albion,America/Chicago
50006,42.51354,-93.40227,Alden,America/Chicago
50007,41.80365,-93.60043,Alleman,America/Chicago
50008,40.67847,-93.38549,Allerton,America/Chicago
50009,41.64313,-93.45945,Altoona,America/Chicago
50010,42.03316,-93.58761,Ames,America/Chicago
50012,42.02904,-93.65086,Ames,America/Chicago
50013,42.01732,-93.64809,Ames,America/Chicago
50014,42.04993,-93.69342,Ames,America/Chicago
50020,41.43364,-94.75215,Anita,America/Chicago
50021,41.7207,-93.56838,Ankeny,America/Chicago
50022,41.41737,-95.00352,Atlantic,America/Chicago
50023,41.72768,-93.63412,Ankeny,America/Chicago
50025,41.75628,-94.92034,Audubon,America/Chicago
50026,41.85823,-94.44958,Bagley,America/Chicago
50027,41.4739,-92.47194,Barnes City,America/Chicago
50028,41.81729,-93.15102,Baxter,America/Chicago
50029,41.82497,-94.55075,Bayard,America/Chicago
50031,42.03881,-94.14003,Beaver,America/Chicago
50032,41.66591,-93.54301,Berwick,America/Chicago
50033,41.36048,-93.79416,Bevington,America/Chicago
50034,42.52921,-93.65438,Blairsburg,America/Chicago
50035,41.7248,-93.45957,Bondurant,America/Chicago
50036,42.0892,-93.85378,Boone,America/Chicago
50038,41.52186,-93.90064,Booneville,America/Chicago
50039,41.82615,-94.00653,Bouton,America/Chicago
50040,42.17363,-94.10121,Boxholm,America/Chicago
50041,42.63429,-93.24662,Bradford,America/Chicago
50042,41.53326,-94.90004,Brayton,America/Chicago
50044,41.20247,-92.88907,Bussey,America/Chicago
50046,41.88974,-93.5234,Cambridge,America/Chicago
50047,41.47551,-93.46556,Carlisle,America/Chicago
50048,41.51167,-94.51936,Casey,America/Chicago
50049,41.03741,-93.29566,Chariton,America/Chicago
50050,42.16459,-94.51054,Churdan,America/Chicago
50051,42.13875,-93.13736,Clemons,America/Chicago
50052,40.64417,-93.44538,Clio,America/Chicago
50054,41.68729,-93.23196,Colfax,America/Chicago
50055,41.88456,-93.2889,Collins,America/Chicago
50056,42.01925,-93.29701,Colo,America/Chicago
50057,41.17859,-93.14554,Columbia,America/Chicago
50058,41.85773,-94.69044,Coon Rapids,America/Chicago
50060,40.75508,-93.31922,Corydon,America/Chicago
50061,41.48022,-93.79343,Cumming,America/Chicago
50062,41.23499,-93.24425,Melcher Dallas,America/Chicago
50063,41.69669,-93.93677,Dallas Center,America/Chicago
50064,42.10671,-94.229,Dana,America/Chicago
50065,40.60859,-93.78089,Davis City,America/Chicago
50066,41.8051,-94.22708,Dawson,America/Chicago
50067,40.70452,-93.85914,Decatur,America/Chicago
50068,40.94229,-93.46704,Derby,America/Chicago
50069,41.52104,-94.02993,De Soto,America/Chicago
50070,41.45402,-94.23745,Dexter,America/Chicago
50071,42.64931,-93.50597,Dows,America/Chicago
50072,41.46984,-94.12115,Earlham,America/Chicago
50073,41.79234,-93.52463,Elkhart,America/Chicago
50074,40.85685,-94.07524,Ellston,America/Chicago
50075,42.33516,-93.56054,Ellsworth,America/Chicago
50076,41.595,-94.8576,Exira,America/Chicago
50078,41.93862,-92.8629,Ferguson,America/Chicago
50101,42.66713,-93.63423,Galt,America/Chicago
50102,42.24554,-93.40022,Garden City,America/Chicago
50103,40.79292,-93.61079,Garden Grove,America/Chicago
50104,41.49458,-92.38841,Gibson,America/Chicago
50105,42.11754,-93.63912,Gilbert,America/Chicago
50106,41.88213,-92.80749,Gilman,America/Chicago
50107,42.03547,-94.2191,Grand Junction,America/Chicago
50108,40.82479,-93.9577,Grand River,America/Chicago
50109,41.76802,-93.80775,Granger,America/Chicago
50110,41.84424,-94.98612,Gray,America/Chicago
50111,41.69353,-93.80358,Grimes,America/Chicago
50112,41.7319,-92.71591,Grinnell,America/Chicago
50115,41.68765,-94.55501,Guthrie Center,America/Chicago
50116,41.17812,-92.98247,Hamilton,America/Chicago
50117,41.66903,-94.85419,Hamlin,America/Chicago
50118,41.45957,-93.37673,Hartford,America/Chicago
50119,41.31089,-92.94587,Harvey,America/Chicago
50120,41.93373,-92.9828,Haverhill,America/Chicago
50122,42.30218,-93.3087,Hubbard,America/Chicago
50123,40.83938,-93.50634,Humeston,America/Chicago
50124,41.88516,-93.60446,Huxley,America/Chicago
50125,41.33286,-93.57957,Indianola,America/Chicago
50126,42.50875,-93.24815,Iowa Falls,America/Chicago
50127,41.78122,-93.21129,Ira,America/Chicago
50128,41.85173,-94.29853,Jamaica,America/Chicago
50129,42.01335,-94.3764,Jefferson,America/Chicago
50130,42.30074,-93.67331,Jewell,America/Chicago
50131,41.69749,-93.72021,Johnston,America/Chicago
50132,42.39392,-93.68256,Kamrar,America/Chicago
50133,40.71592,-94.07576,Kellerton,America/Chicago
50134,41.93992,-93.67429,Kelley,America/Chicago
50135,41.7475,-92.89096,Kellogg,America/Chicago
50136,41.46984,-92.28927,Keswick,America/Chicago
50137,41.60872,-92.92126,Killduff,America/Chicago
50138,41.30246,-93.10534,Knoxville,America/Chicago
50139,41.19237,-93.36683,Lacona,America/Chicago
50140,40.63753,-93.99198,Lamoni,America/Chicago
50141,41.86889,-92.95634,Laurel,America/Chicago
50142,42.0055,-92.77582,Le Grand,America/Chicago
50143,41.34245,-92.79893,Leighton,America/Chicago
50144,40.73327,-93.73615,Leon,America/Chicago
50145,41.20387,-93.48515,Liberty Center,America/Chicago
50146,41.68038,-94.24905,Linden,America/Chicago
50147,40.62381,-93.54597,Lineville,America/Chicago
50148,42.18142,-92.99567,Liscomb,America/Chicago
