zip,lat,lng,city,timezone
10001,40.75064,-73.99728,New York,America/New_York
10002,40.71597,-73.98692,New York,America/New_York
10003,40.73184,-73.98915,New York,America/New_York
10004,40.69431,-74.01835,New York,America/New_York
10005,40.70614,-74.00862,New York,America/New_York
10006,40.70949,-74.01306,New York,America/New_York
10007,40.71387,-74.00792,New York,America/New_York
10009,40.72639,-73.97865,New York,America/New_York
10010,40.73899,-73.98243,New York,America/New_York
10011,40.74173,-74.00037,New York,America/New_York
10012,40.7256,-73.99794,New York,America/New_York
10013,40.72001,-74.00472,New York,America/New_York
10014,40.73407,-74.00601,New York,America/New_York
10016,40.74515,-73.97807,New York,America/New_York
10017,40.75235,-73.9726,New York,America/New_York
10018,40.75536,-73.99265,New York,America/New_York
10019,40.76586,-73.9853,New York,America/New_York
10020,40.75917,-73.98071,New York,America/New_York
10021,40.76963,-73.95899,New York,America/New_York
10022,40.75856,-73.96787,New York,America/New_York
10023,40.77464,-73.97836,New York,America/New_York
10024,40.78534,-73.97138,New York,America/New_York
10025,40.79825,-73.96831,New York,America/New_York
10026,40.80302,-73.95348,New York,America/New_York
10027,40.81187,-73.95459,New York,America/New_York
10028,40.77643,-73.95339,New York,America/New_York
10029,40.79265,-73.94788,New York,America/New_York
10030,40.81826,-73.94283,New York,America/New_York
10031,40.82485,-73.95023,New York,America/New_York
10032,40.839,-73.94282,New York,America/New_York
10033,40.84744,-73.93549,New York,America/New_York
10034,40.86749,-73.92358,New York,America/New_York
10035,40.79538,-73.92965,New York,America/New_York
10036,40.75976,-73.99064,New York,America/New_York
10037,40.81302,-73.93776,New York,America/New_York
10038,40.70914,-74.00298,New York,America/New_York
10039,40.82631,-73.93752,New York,America/New_York
10040,40.85807,-73.9296,New York,America/New_York
10044,40.76209,-73.94981,New York,America/New_York
10065,40.76472,-73.96332,New York,America/New_York
10069,40.77752,-73.98875,New York,America/New_York
10075,40.77342,-73.95642,New York,America/New_York
10103,40.76078,-73.97767,New York,America/New_York
10110,40.7545,-73.98226,New York,America/New_York
10111,40.75953,-73.97858,New York,America/New_York
10112,40.75891,-73.97904,New York,America/New_York
10115,40.81085,-73.96374,New York,America/New_York
10119,40.75064,-73.99273,New York,America/New_York
10128,40.78151,-73.95018,New York,America/New_York
10152,40.75872,-73.9718,New York,America/New_York
10153,40.76362,-73.97244,New York,America/New_York
10154,40.75778,-73.97249,New York,America/New_York
10162,40.76936,-73.94986,New York,America/New_York
10165,40.75213,-73.97872,New York,America/New_York
10167,40.75465,-73.97477,New York,America/New_York
10168,40.75145,-73.9771,New York,America/New_York
10169,40.75467,-73.97643,New York,America/New_York
10170,40.75263,-73.97588,New York,America/New_York
10171,40.7559,-73.97386,New York,America/New_York
10172,40.75527,-73.97431,New York,America/New_York
10173,40.75379,-73.97961,New York,America/New_York
10174,40.75144,-73.975,New York,America/New_York
10177,40.75498,-73.97589,New York,America/New_York
10199,40.75138,-73.99715,New York,America/New_York
10271,40.70844,-74.01033,New York,America/New_York
10278,40.71513,-74.00373,New York,America/New_York
10279,40.71263,-74.00867,New York,America/New_York
10280,40.70985,-74.01651,New York,America/New_York
10282,40.71655,-74.01495,New York,America/New_York
10301,40.62803,-74.09564,Staten Island,America/New_York
10302,40.63055,-74.13776,Staten Island,America/New_York
10303,40.63223,-74.16903,Staten Island,America/New_York
10304,40.60671,-74.0931,Staten Island,America/New_York
10305,40.59592,-74.07539,Staten Island,America/New_York
10306,40.57149,-74.1243,Staten Island,America/New_York
10307,40.50817,-74.24254,Staten Island,America/New_York
10308,40.55213,-74.15029,Staten Island,America/New_York
10309,40.53001,-74.21912,Staten Island,America/New_York
10310,40.63243,-74.11653,Staten Island,America/New_York
10311,40.60523,-74.17956,Staten Island,America/New_York
10312,40.54489,-74.18084,Staten Island,America/New_York
10314,40.60086,-74.16306,Staten Island,America/New_York
10451,40.82097,-73.92383,Bronx,America/New_York
10452,40.8378,-73.92333,Bronx,America/New_York
10453,40.85248,-73.9133,Bronx,America/New_York
10454,40.8056,-73.91664,Bronx,America/New_York
10455,40.8148,-73.90862,Bronx,America/New_York
10456,40.83064,-73.90812,Bronx,America/New_York
10457,40.84571,-73.89794,Bronx,America/New_York
