zip,lat,lng,city,timezone
20001,38.91002,-77.018,Washington,America/New_York
20002,38.90511,-76.98431,Washington,America/New_York
20003,38.88193,-76.99033,Washington,America/New_York
20004,38.89504,-77.02661,Washington,America/New_York
20005,38.90443,-77.0316,Washington,America/New_York
20006,38.89847,-77.04119,Washington,America/New_York
20007,38.91259,-77.07756,Washington,America/New_York
20008,38.93539,-77.05935,Washington,America/New_York
20009,38.91986,-77.03749,Washington,America/New_York
20010,38.93255,-77.03128,Washington,America/New_York
20011,38.95295,-77.02323,Washington,America/New_York
20012,38.97863,-77.03076,Washington,America/New_York
20015,38.96661,-77.05837,Washington,America/New_York
20016,38.93822,-77.09139,Washington,America/New_York
20017,38.93813,-76.99294,Washington,America/New_York
20018,38.92596,-76.97281,Washington,America/New_York
20019,38.89214,-76.94195,Washington,America/New_York
20020,38.86234,-76.97446,Washington,America/New_York
20024,38.87517,-77.0295,Washington,America/New_York
20032,38.83142,-77.01514,Washington,America/New_York
20036,38.90705,-77.04155,Washington,America/New_York
20037,38.89213,-77.0535,Washington,America/New_York
20045,38.89673,-77.0308,Washington,America/New_York
20052,38.89884,-77.04779,Washington,America/New_York
20057,38.90892,-77.07511,Washington,America/New_York
20059,38.92247,-77.02003,Washington,America/New_York
20064,38.93637,-76.99924,Washington,America/New_York
20105,38.95949,-77.60829,Aldie,America/New_York
20106,38.6871,-78.0133,Amissville,America/New_York
20109,38.79472,-77.53105,Manassas,America/New_York
20110,38.7464,-77.48699,Manassas,America/New_York
20111,38.74907,-77.43039,Manassas,America/New_York
20112,38.67274,-77.42901,Manassas,America/New_York
20115,38.82138,-77.89764,Marshall,America/New_York
20117,38.99473,-77.73851,Middleburg,America/New_York
20119,38.62159,-77.62819,Catlett,America/New_York
20120,38.85576,-77.47987,Centreville,America/New_York
20121,38.8175,-77.46015,Centreville,America/New_York
20124,38.78059,-77.39085,Clifton,America/New_York
20129,39.16673,-77.59404,Paeonian Springs,America/New_York
20130,39.02756,-77.94243,Paris,America/New_York
