zip,lat,lng,city,timezone
80435,39.60161,-105.92452,Dillon,America/Denver
80436,39.78203,-105.64349,Dumont,America/Denver
80438,39.7602,-105.78356,Empire,America/Denver
80439,39.6343,-105.42994,Evergreen,America/Denver
80440,39.13412,-106.04137,Fairplay,America/Denver
80442,39.91633,-105.89813,Fraser,America/Denver
80443,39.50165,-106.16673,Frisco,America/Denver
80444,39.63138,-105.73078,Georgetown,America/Denver
80446,40.16335,-105.937,Granby,America/Denver
80447,40.30116,-105.81712,Grand Lake,America/Denver
80448,39.41769,-105.63747,Grant,America/Denver
80449,38.93059,-105.79169,Hartsel,America/Denver
80451,40.04007,-106.04456,Hot Sulphur Springs,America/Denver
80452,39.70969,-105.59515,Idaho Springs,America/Denver
80453,39.66477,-105.24285,Idledale,America/Denver
80454,39.63109,-105.25204,Indian Hills,America/Denver
80455,40.11071,-105.39071,Jamestown,America/Denver
80456,39.30643,-105.69211,Jefferson,America/Denver
80457,39.65091,-105.29972,Kittredge,America/Denver
80459,40.1843,-106.41877,Kremmling,America/Denver
80461,39.24244,-106.29016,Leadville,America/Denver
80463,39.95523,-106.73888,McCoy,America/Denver
80465,39.60437,-105.21521,Morrison,America/Denver
80466,39.99008,-105.546,Nederland,America/Denver
80467,40.25692,-106.87326,Oak Creek,America/Denver
80468,39.91447,-106.10979,Parshall,America/Denver
80469,40.21448,-106.96797,Phippsburg,America/Denver
80470,39.40104,-105.34527,Pine,America/Denver
80471,39.93507,-105.42048,Pinecliffe,America/Denver
80473,40.45096,-106.1555,Rand,America/Denver
80474,39.92353,-105.56404,Rollinsville,America/Denver
80475,39.43012,-105.59234,Shawnee,America/Denver
80476,39.68522,-105.80972,Silver Plume,America/Denver
80478,40.02218,-105.85693,Tabernash,America/Denver
80479,40.02078,-106.86356,Toponas,America/Denver
80480,40.67188,-106.34175,Walden,America/Denver
80481,40.10351,-105.52253,Ward,America/Denver
80482,39.90429,-105.78404,Winter Park,America/Denver
80483,40.12482,-106.92124,Yampa,America/Denver
80487,40.58803,-106.89321,Steamboat Springs,America/Denver
80498,39.7794,-106.22338,Silverthorne,America/Denver
80501,40.16479,-105.10208,Longmont,America/Denver
80503,40.16922,-105.20725,Longmont,America/Denver
80504,40.16523,-105.03029,Longmont,America/Denver
80510,40.20964,-105.57878,Allenspark,America/Denver
80512,40.62989,-105.56828,Bellvue,America/Denver
80513,40.29789,-105.10913,Berthoud,America/Denver
80514,40.07152,-104.95401,Dacono,America/Denver
80515,40.45659,-105.37726,Drake,America/Denver
80516,40.05333,-105.01869,Erie,America/Denver
80517,40.39731,-105.61165,Estes Park,America/Denver
80520,40.11387,-104.93347,Firestone,America/Denver
80521,40.59372,-105.1268,Fort Collins,America/Denver
80524,40.64814,-105.02155,Fort Collins,America/Denver
80525,40.52795,-105.04249,Fort Collins,America/Denver
80526,40.5174,-105.13262,Fort Collins,America/Denver
80528,40.49343,-105.00075,Fort Collins,America/Denver
80530,40.10153,-104.92302,Frederick,America/Denver
80532,40.4775,-105.46048,Glen Haven,America/Denver
80534,40.33192,-104.93522,Johnstown,America/Denver
80535,40.73718,-105.19292,Laporte,America/Denver
