zip,lat,lng,city,timezone
40003,38.26863,-85.04367,Bagdad,America/New_York
40004,37.80279,-85.4695,Bardstown,America/New_York
40006,38.59626,-85.32861,Bedford,America/New_York
40007,38.4524,-85.00176,Bethlehem,America/New_York
40008,37.91735,-85.28097,Bloomfield,America/New_York
40009,37.47075,-85.099,Bradfordsville,America/New_York
40010,38.37226,-85.45431,Buckner,America/New_York
40011,38.53048,-85.1718,Campbellsburg,America/New_York
40012,37.90697,-85.17376,Chaplin,America/New_York
40013,37.93427,-85.48684,Coxs Creek,America/New_York
40014,38.3412,-85.43181,Crestwood,America/New_York
40019,38.37416,-85.17437,Eminence,America/New_York
40020,37.93503,-85.38753,Fairfield,America/New_York
40022,38.15242,-85.3341,Finchville,America/New_York
40023,38.16264,-85.42367,Fisherville,America/New_York
40025,38.30133,-85.65202,Glenview,America/New_York
40026,38.42687,-85.52902,Goshen,America/New_York
40031,38.42617,-85.39368,La Grange,America/New_York
40033,37.55935,-85.23928,Lebanon,America/New_York
40036,38.44317,-84.97272,Lockport,America/New_York
40037,37.65409,-85.41196,Loretto,America/New_York
40040,37.77433,-85.05727,Mackville,America/New_York
40041,38.25615,-85.66475,Masonic Home,America/New_York
40045,38.69376,-85.35641,Milton,America/New_York
40046,38.02324,-85.17729,Mount Eden,America/New_York
40047,38.04007,-85.55453,Mount Washington,America/New_York
40049,37.66442,-85.39724,Nerinx,America/New_York
40050,38.44596,-85.17753,New Castle,America/New_York
40051,37.65293,-85.57949,New Haven,America/New_York
40052,37.58417,-85.51154,New Hope,America/New_York
40055,38.49889,-85.32867,Pendleton,America/New_York
40056,38.30654,-85.48784,Pewee Valley,America/New_York
40057,38.38636,-85.0491,Pleasureville,America/New_York
40058,38.43265,-85.17002,Port Royal,America/New_York
40059,38.35784,-85.58441,Prospect,America/New_York
40060,37.53529,-85.44371,Raywick,America/New_York
40061,37.70954,-85.26353,Saint Catharine,America/New_York
40062,37.59969,-85.43161,Saint Francis,America/New_York
40063,37.57052,-85.34336,Saint Mary,America/New_York
40065,38.21225,-85.20734,Shelbyville,America/New_York
40067,38.2269,-85.364,Simpsonville,America/New_York
40068,38.38933,-85.27131,Smithfield,America/New_York
40069,37.71627,-85.21764,Springfield,America/New_York
40070,38.47969,-85.24405,Sulphur,America/New_York
40071,38.04327,-85.37069,Taylorsville,America/New_York
40075,38.56169,-85.11346,Turners Station,America/New_York
40076,38.11301,-85.08671,Waddy,America/New_York
40077,38.49996,-85.43768,Westport,America/New_York
40078,37.84272,-85.14902,Willisburg,America/New_York
40104,38.09012,-86.34053,Battletown,America/New_York
40107,37.76952,-85.63798,Boston,America/New_York
40108,37.96964,-86.16791,Brandenburg,America/New_York
40109,38.05857,-85.75469,Brooks,America/New_York
40110,37.93478,-85.64015,Clermont,America/New_York
40111,37.77881,-86.62881,Cloverport,America/Chicago
40115,37.73784,-86.22707,Custer,America/Chicago
40117,37.89919,-86.1247,Ekron,America/New_York
40118,38.09805,-85.75572,Fairdale,America/New_York
40119,37.60799,-86.54925,Falls Of Rough,America/Chicago
40121,37.92614,-85.95292,Fort Knox,America/New_York
40140,37.71867,-86.29047,Garfield,America/Chicago
40142,37.88898,-86.21095,Guston,America/New_York
40143,37.78541,-86.50507,Hardinsburg,America/Chicago
40144,37.75899,-86.37732,Harned,America/Chicago
40145,37.64607,-86.32019,Hudson,America/Chicago
40146,37.84622,-86.31954,Irvington,America/Chicago
40150,37.87458,-85.68799,Lebanon Junction,America/New_York
40152,37.61389,-86.44185,McDaniels,America/Chicago
40155,37.94684,-85.99303,Muldraugh,America/New_York
40157,38.02111,-86.37694,Payneville,America/New_York
40160,37.8144,-85.93971,Radcliff,America/New_York
40161,38.00422,-86.39887,Rhodelia,America/New_York
40162,37.7517,-86.04394,Rineyville,America/New_York
40165,37.99407,-85.68918,Shepherdsville,America/New_York
40170,37.96479,-86.49607,Stephensport,America/Chicago
40171,37.96435,-86.43577,Union Star,America/Chicago
40175,37.81907,-86.08635,Vine Grove,America/New_York
40176,37.92377,-86.34652,Webster,America/Chicago
40177,38.0009,-85.92502,West Point,America/New_York
40178,37.65834,-86.40853,Westview,America/Chicago
40202,38.25288,-85.75205,Louisville,America/Kentucky/Louisville
40203,38.24722,-85.765,Louisville,America/Kentucky/Louisville
40204,38.23873,-85.7208,Louisville,America/New_York
40205,38.22313,-85.68275,Louisville,America/New_York
40206,38.25788,-85.70205,Louisville,America/New_York
40207,38.26357,-85.65543,Louisville,America/New_York
40208,38.2176,-85.7659,Louisville,America/New_York
40209,38.18492,-85.74372,Louisville,America/New_York
40210,38.23161,-85.78592,Louisville,America/Kentucky/Louisville
40211,38.23425,-85.82147,Louisville,America/Kentucky/Louisville
40212,38.26787,-85.80256,Louisville,America/Kentucky/Louisville
40213,38.177,-85.71571,Louisville,America/New_York
40214,38.15141,-85.78285,Louisville,America/New_York
40215,38.19052,-85.78555,Louisville,America/New_York
40216,38.18707,-85.83738,Louisville,America/Kentucky/Louisville
40217,38.21689,-85.73725,Louisville,America/New_York
40218,38.19036,-85.65698,Louisville,America/New_York
40219,38.13907,-85.68877,Louisville,America/New_York
40220,38.21535,-85.61794,Louisville,America/New_York
40221,38.18644,-85.75302,Louisville,America/New_York
40222,38.26436,-85.61173,Louisville,America/New_York
40223,38.26153,-85.54328,Louisville,America/New_York
40228,38.13931,-85.62947,Louisville,America/New_York
40229,38.09074,-85.65597,Louisville,America/New_York
40231,38.19551,-85.69523,Louisville,America/New_York
40241,38.30339,-85.5774,Louisville,America/New_York
40242,38.27639,-85.59042,Louisville,America/New_York
40243,38.23917,-85.53188,Louisville,America/New_York
40245,38.26574,-85.45327,Louisville,America/New_York
40258,38.14514,-85.87253,Louisville,America/Kentucky/Louisville
40272,38.08291,-85.85315,Louisville,America/New_York
40280,38.24764,-85.68704,Louisville,America/New_York
40291,38.1275,-85.57823,Louisville,America/New_York
40299,38.16319,-85.51613,Louisville,America/New_York
40310,37.752,-84.76941,Burgin,America/New_York
40311,38.32407,-84.02256,Carlisle,America/New_York
40312,37.84386,-83.93013,Clay City,America/New_York
40313,38.13215,-83.38973,Clearfield,America/New_York
40316,37.93419,-83.52895,Denniston,America/New_York
40322,37.93367,-83.63329,Frenchburg,America/New_York
40324,38.24786,-84.54956,Georgetown,America/New_York
40328,37.56632,-85.02565,Gravel Switch,America/New_York
40330,37.78912,-84.89016,Harrodsburg,America/New_York
40334,38.0197,-83.74943,Hope,America/New_York
40336,37.68352,-83.9832,Irvine,America/New_York
40337,37.95286,-83.85644,Jeffersonville,America/New_York
40339,37.94313,-84.64107,Keene,America/New_York
40342,38.0036,-84.9837,Lawrenceburg,America/New_York
40346,37.98339,-83.74384,Means,America/New_York
40347,38.15794,-84.71915,Midway,America/New_York
40348,38.30296,-84.14613,Millersburg,America/New_York
40350,38.30512,-83.87881,Moorefield,America/New_York
40351,38.19817,-83.4133,Morehead,America/New_York
40353,38.06514,-83.94853,Mount Sterling,America/New_York
