zip,lat,lng,city,timezone
90001,33.97365,-118.24904,Los Angeles,America/Los_Angeles
90002,33.94906,-118.24679,Los Angeles,America/Los_Angeles
90003,33.96409,-118.27368,Los Angeles,America/Los_Angeles
90004,34.07624,-118.31101,Los Angeles,America/Los_Angeles
90005,34.05939,-118.30909,Los Angeles,America/Los_Angeles
90006,34.04807,-118.29411,Los Angeles,America/Los_Angeles
90007,34.02819,-118.28486,Los Angeles,America/Los_Angeles
90008,34.01037,-118.3428,Los Angeles,America/Los_Angeles
90010,34.06209,-118.31262,Los Angeles,America/Los_Angeles
90011,34.00689,-118.25861,Los Angeles,America/Los_Angeles
90012,34.06679,-118.23878,Los Angeles,America/Los_Angeles
90013,34.04435,-118.24,Los Angeles,America/Los_Angeles
90014,34.04302,-118.25182,Los Angeles,America/Los_Angeles
90015,34.03932,-118.26625,Los Angeles,America/Los_Angeles
90016,34.02881,-118.35436,Los Angeles,America/Los_Angeles
90017,34.05306,-118.26447,Los Angeles,America/Los_Angeles
90018,34.0286,-118.31737,Los Angeles,America/Los_Angeles
90019,34.04861,-118.33874,Los Angeles,America/Los_Angeles
90020,34.06638,-118.30986,Los Angeles,America/Los_Angeles
90021,34.02909,-118.23889,Los Angeles,America/Los_Angeles
90022,34.02455,-118.15608,Los Angeles,America/Los_Angeles
90023,34.02264,-118.19986,Los Angeles,America/Los_Angeles
90024,34.06565,-118.43521,Los Angeles,America/Los_Angeles
90025,34.04551,-118.44583,Los Angeles,America/Los_Angeles
90026,34.07883,-118.2637,Los Angeles,America/Los_Angeles
90027,34.12515,-118.29049,Los Angeles,America/Los_Angeles
90028,34.09982,-118.3268,Los Angeles,America/Los_Angeles
90029,34.08983,-118.29467,Los Angeles,America/Los_Angeles
90031,34.08122,-118.21081,Los Angeles,America/Los_Angeles
90032,34.0793,-118.17835,Los Angeles,America/Los_Angeles
90033,34.05117,-118.21165,Los Angeles,America/Los_Angeles
90034,34.03059,-118.39936,Los Angeles,America/Los_Angeles
90035,34.05139,-118.38577,Los Angeles,America/Los_Angeles
90036,34.07013,-118.34978,Los Angeles,America/Los_Angeles
90037,34.00271,-118.28747,Los Angeles,America/Los_Angeles
90038,34.08882,-118.32671,Los Angeles,America/Los_Angeles
90039,34.11242,-118.26153,Los Angeles,America/Los_Angeles
90040,33.99318,-118.1489,Los Angeles,America/Los_Angeles
90041,34.13749,-118.20746,Los Angeles,America/Los_Angeles
90042,34.11475,-118.192,Los Angeles,America/Los_Angeles
90043,33.98876,-118.33519,Los Angeles,America/Los_Angeles
90044,33.95253,-118.29194,Los Angeles,America/Los_Angeles
90045,33.95302,-118.40028,Los Angeles,America/Los_Angeles
90046,34.10752,-118.36575,Los Angeles,America/Los_Angeles
90047,33.95456,-118.30899,Los Angeles,America/Los_Angeles
90048,34.07293,-118.3727,Los Angeles,America/Los_Angeles
90049,34.08749,-118.48976,Los Angeles,America/Los_Angeles
90052,33.9783,-118.25891,Los Angeles,America/Los_Angeles
90056,33.99361,-118.36884,Los Angeles,America/Los_Angeles
90057,34.06205,-118.27704,Los Angeles,America/Los_Angeles
90058,34.00264,-118.21452,Los Angeles,America/Los_Angeles
90059,33.92709,-118.2491,Los Angeles,America/Los_Angeles
90061,33.92037,-118.27383,Los Angeles,America/Los_Angeles
90062,34.0035,-118.30904,Los Angeles,America/Los_Angeles
90063,34.0452,-118.18583,Los Angeles,America/Los_Angeles
90064,34.0358,-118.42653,Los Angeles,America/Los_Angeles
90065,34.10867,-118.22813,Los Angeles,America/Los_Angeles
90066,34.00166,-118.43104,Los Angeles,America/Los_Angeles
90067,34.0565,-118.41373,Los Angeles,America/Los_Angeles
90068,34.12794,-118.32914,Los Angeles,America/Los_Angeles
90069,34.09401,-118.38154,West Hollywood,America/Los_Angeles
90071,34.05239,-118.25518,Los Angeles,America/Los_Angeles
90073,34.05738,-118.45956,Los Angeles,America/Los_Angeles
90077,34.10536,-118.45591,Los Angeles,America/Los_Angeles
90079,34.04058,-118.25541,Los Angeles,America/Los_Angeles
90089,34.02158,-118.2856,Los Angeles,America/Los_Angeles
90094,33.97523,-118.41837,Playa Vista,America/Los_Angeles
90095,34.07121,-118.44334,Los Angeles,America/Los_Angeles
90201,33.97113,-118.1709,Bell Gardens,America/Los_Angeles
90210,34.10251,-118.41505,Beverly Hills,America/Los_Angeles
90211,34.06498,-118.38293,Beverly Hills,America/Los_Angeles
90212,34.06208,-118.40173,Beverly Hills,America/Los_Angeles
90220,33.88058,-118.23591,Compton,America/Los_Angeles
90221,33.88542,-118.20614,Compton,America/Los_Angeles
90222,33.91213,-118.23721,Compton,America/Los_Angeles
90230,33.99691,-118.39487,Culver City,America/Los_Angeles
90232,34.01859,-118.39157,Culver City,America/Los_Angeles
90240,33.9564,-118.11803,Downey,America/Los_Angeles
90241,33.94076,-118.1295,Downey,America/Los_Angeles
90242,33.92216,-118.14167,Downey,America/Los_Angeles
90245,33.91709,-118.40161,El Segundo,America/Los_Angeles
90247,33.89159,-118.29735,Gardena,America/Los_Angeles
90248,33.87689,-118.28362,Gardena,America/Los_Angeles
90249,33.90152,-118.31707,Gardena,America/Los_Angeles
90250,33.91383,-118.34996,Hawthorne,America/Los_Angeles
90254,33.86532,-118.39616,Hermosa Beach,America/Los_Angeles
90255,33.97697,-118.21725,Huntington Park,America/Los_Angeles
90260,33.88768,-118.34952,Lawndale,America/Los_Angeles
90262,33.92384,-118.20133,Lynwood,America/Los_Angeles
90263,34.03919,-118.70809,Malibu,America/Los_Angeles
90265,34.07282,-118.84995,Malibu,America/Los_Angeles
90266,33.88968,-118.39705,Manhattan Beach,America/Los_Angeles
90270,33.98856,-118.18774,Maywood,America/Los_Angeles
90272,34.08066,-118.54459,Pacific Palisades,America/Los_Angeles
90274,33.77732,-118.3684,Palos Verdes Peninsula,America/Los_Angeles
90275,33.7555,-118.36338,Rancho Palos Verdes,America/Los_Angeles
90277,33.83099,-118.38441,Redondo Beach,America/Los_Angeles
90278,33.87362,-118.37028,Redondo Beach,America/Los_Angeles
90280,33.94453,-118.19256,South Gate,America/Los_Angeles
90290,34.09725,-118.6125,Topanga,America/Los_Angeles
90291,33.99447,-118.46315,Venice,America/Los_Angeles
90292,33.97865,-118.44707,Marina Del Rey,America/Los_Angeles
90293,33.95071,-118.43745,Playa Del Rey,America/Los_Angeles
90301,33.95647,-118.35863,Inglewood,America/Los_Angeles
90302,33.97472,-118.35565,Inglewood,America/Los_Angeles
90303,33.93601,-118.33112,Inglewood,America/Los_Angeles
90304,33.93736,-118.35879,Inglewood,America/Los_Angeles
90305,33.9583,-118.33113,Inglewood,America/Los_Angeles
90401,34.01584,-118.49251,Santa Monica,America/Los_Angeles
90402,34.03598,-118.50391,Santa Monica,America/Los_Angeles
90403,34.03164,-118.48975,Santa Monica,America/Los_Angeles
90404,34.02665,-118.47381,Santa Monica,America/Los_Angeles
90405,34.01208,-118.4679,Santa Monica,America/Los_Angeles
90501,33.8336,-118.31419,Torrance,America/Los_Angeles
90502,33.83497,-118.29291,Torrance,America/Los_Angeles
90503,33.84089,-118.3538,Torrance,America/Los_Angeles
90504,33.86693,-118.33135,Torrance,America/Los_Angeles
90505,33.80904,-118.34775,Torrance,America/Los_Angeles
90506,33.88493,-118.33044,Torrance,America/Los_Angeles
90601,34.0078,-118.03287,Whittier,America/Los_Angeles
90602,33.97317,-118.02341,Whittier,America/Los_Angeles
90603,33.94487,-117.99239,Whittier,America/Los_Angeles
90604,33.93012,-118.01226,Whittier,America/Los_Angeles
90605,33.95209,-118.02085,Whittier,America/Los_Angeles
90606,33.97742,-118.0661,Whittier,America/Los_Angeles
90620,33.84616,-118.01176,Buena Park,America/Los_Angeles
90621,33.87396,-117.99346,Buena Park,America/Los_Angeles
90623,33.85038,-118.04088,La Palma,America/Los_Angeles
90630,33.81814,-118.03814,Cypress,America/Los_Angeles
90631,33.94266,-117.95126,La Habra,America/Los_Angeles
90638,33.90236,-118.00907,La Mirada,America/Los_Angeles
90639,33.90565,-118.01499,La Mirada,America/Los_Angeles
90640,34.01506,-118.111,Montebello,America/Los_Angeles
90650,33.90703,-118.08249,Norwalk,America/Los_Angeles
90660,33.98868,-118.09111,Pico Rivera,America/Los_Angeles
90670,33.93279,-118.0626,Santa Fe Springs,America/Los_Angeles
90680,33.80115,-117.99532,Stanton,America/Los_Angeles
90701,33.8676,-118.08055,Artesia,America/Los_Angeles
90703,33.86797,-118.06874,Cerritos,America/Los_Angeles
90704,33.3765,-118.43678,Avalon,America/Los_Angeles
90706,33.88802,-118.12709,Bellflower,America/Los_Angeles
90710,33.79806,-118.29918,Harbor City,America/Los_Angeles
90712,33.849,-118.14677,Lakewood,America/Los_Angeles
90713,33.84797,-118.11268,Lakewood,America/Los_Angeles
90715,33.84037,-118.07887,Lakewood,America/Los_Angeles
90716,33.8305,-118.07295,Hawaiian Gardens,America/Los_Angeles
90717,33.79345,-118.31706,Lomita,America/Los_Angeles
90720,33.79573,-118.06342,Los Alamitos,America/Los_Angeles
90723,33.89768,-118.16508,Paramount,America/Los_Angeles
90731,33.7334,-118.27398,San Pedro,America/Los_Angeles
90732,33.74319,-118.31048,San Pedro,America/Los_Angeles
90740,33.75461,-118.07129,Seal Beach,America/Los_Angeles
90742,33.71834,-118.07174,Sunset Beach,America/Los_Angeles
90743,33.72963,-118.08594,Surfside,America/Los_Angeles
90744,33.77821,-118.26087,Wilmington,America/Los_Angeles
90745,33.82117,-118.26458,Carson,America/Los_Angeles
90746,33.85855,-118.25518,Carson,America/Los_Angeles
90747,33.86372,-118.25142,Carson,America/Los_Angeles
90755,33.80274,-118.16747,Signal Hill,America/Los_Angeles
90802,33.75035,-118.21143,Long Beach,America/Los_Angeles
90803,33.76162,-118.12178,Long Beach,America/Los_Angeles
90804,33.78223,-118.14917,Long Beach,America/Los_Angeles
90805,33.86494,-118.18051,Long Beach,America/Los_Angeles
90806,33.80819,-118.17797,Long Beach,America/Los_Angeles
90807,33.83098,-118.18113,Long Beach,America/Los_Angeles
90808,33.82406,-118.11236,Long Beach,America/Los_Angeles
90810,33.81912,-118.22096,Long Beach,America/Los_Angeles
90813,33.78237,-118.19656,Long Beach,America/Los_Angeles
90814,33.7716,-118.14351,Long Beach,America/Los_Angeles
90815,33.79572,-118.11592,Long Beach,America/Los_Angeles
90822,33.77825,-118.11871,Long Beach,America/Los_Angeles
90831,33.76824,-118.20055,Long Beach,America/Los_Angeles
90840,33.78449,-118.12133,Long Beach,America/Los_Angeles
91001,34.19522,-118.13866,Altadena,America/Los_Angeles
91006,34.1352,-118.02667,Arcadia,America/Los_Angeles
91007,34.12842,-118.04818,Arcadia,America/Los_Angeles
91008,34.15363,-117.96862,Duarte,America/Los_Angeles
91010,34.14114,-117.95918,Duarte,America/Los_Angeles
91011,34.21757,-118.20346,La Canada Flintridge,America/Los_Angeles
91016,34.15246,-118.00065,Monrovia,America/Los_Angeles
91020,34.21144,-118.23065,Montrose,America/Los_Angeles
91024,34.17177,-118.04654,Sierra Madre,America/Los_Angeles
91030,34.11029,-118.15748,South Pasadena,America/Los_Angeles
91040,34.25861,-118.33468,Sunland,America/Los_Angeles
91042,34.30687,-118.25701,Tujunga,America/Los_Angeles
91046,34.2117,-118.24092,Verdugo City,America/Los_Angeles
91101,34.14671,-118.13895,Pasadena,America/Los_Angeles
91103,34.16738,-118.16446,Pasadena,America/Los_Angeles
91104,34.16766,-118.12341,Pasadena,America/Los_Angeles
91105,34.14045,-118.16716,Pasadena,America/Los_Angeles
91106,34.13861,-118.12825,Pasadena,America/Los_Angeles
91107,34.15919,-118.08688,Pasadena,America/Los_Angeles
91108,34.12232,-118.11363,San Marino,America/Los_Angeles
91125,34.13772,-118.12492,Pasadena,America/Los_Angeles
91201,34.17041,-118.28902,Glendale,America/Los_Angeles
91202,34.18221,-118.26761,Glendale,America/Los_Angeles
91203,34.15287,-118.26355,Glendale,America/Los_Angeles
91204,34.13554,-118.26093,Glendale,America/Los_Angeles
91205,34.13679,-118.24339,Glendale,America/Los_Angeles
91206,34.16076,-118.21311,Glendale,America/Los_Angeles
91207,34.16872,-118.24477,Glendale,America/Los_Angeles
91208,34.19333,-118.23839,Glendale,America/Los_Angeles
91210,34.14468,-118.25809,Glendale,America/Los_Angeles
91214,34.23759,-118.24778,La Crescenta,America/Los_Angeles
91301,34.12314,-118.75685,Agoura Hills,America/Los_Angeles
91302,34.12295,-118.67193,Calabasas,America/Los_Angeles
91303,34.19784,-118.6017,Canoga Park,America/Los_Angeles
91304,34.22472,-118.63261,Canoga Park,America/Los_Angeles
91306,34.20926,-118.5755,Winnetka,America/Los_Angeles
91307,34.20177,-118.66226,West Hills,America/Los_Angeles
91311,34.29011,-118.60776,Chatsworth,America/Los_Angeles
91316,34.15836,-118.51658,Encino,America/Los_Angeles
91320,34.17339,-118.94795,Newbury Park,America/Los_Angeles
91321,34.36479,-118.4922,Newhall,America/Los_Angeles
91324,34.23855,-118.55015,Northridge,America/Los_Angeles
91325,34.23636,-118.51777,Northridge,America/Los_Angeles
91326,34.28022,-118.5566,Porter Ranch,America/Los_Angeles
91330,34.2446,-118.52669,Northridge,America/Los_Angeles
91331,34.25602,-118.41939,Pacoima,America/Los_Angeles
91335,34.20107,-118.5407,Reseda,America/Los_Angeles
91340,34.28668,-118.43479,San Fernando,America/Los_Angeles
91342,34.31778,-118.39207,Sylmar,America/Los_Angeles
