zip,lat,lng,city,timezone
60002,42.4674,-88.09419,Antioch,America/Chicago
60004,42.11206,-87.97895,Arlington Heights,America/Chicago
60005,42.06518,-87.98676,Arlington Heights,America/Chicago
60007,42.01431,-87.99828,Elk Grove Village,America/Chicago
60008,42.0739,-88.0229,Rolling Meadows,America/Chicago
60010,42.15255,-88.16519,Barrington,America/Chicago
60012,42.27199,-88.31157,Crystal Lake,America/Chicago
60013,42.22027,-88.23568,Cary,America/Chicago
60014,42.23126,-88.32679,Crystal Lake,America/Chicago
60015,42.17239,-87.87486,Deerfield,America/Chicago
60016,42.05232,-87.8899,Des Plaines,America/Chicago
60018,41.99629,-87.89846,Des Plaines,America/Chicago
60020,42.39543,-88.17349,Fox Lake,America/Chicago
60021,42.19511,-88.21768,Fox River Grove,America/Chicago
60022,42.13637,-87.7664,Glencoe,America/Chicago
60025,42.07466,-87.81204,Glenview,America/Chicago
60026,42.09221,-87.83789,Glenview,America/Chicago
60029,42.05857,-87.78496,Golf,America/Chicago
60030,42.33536,-88.04519,Grayslake,America/Chicago
60031,42.37494,-87.94119,Gurnee,America/Chicago
60033,42.42333,-88.61104,Harvard,America/Chicago
60034,42.45869,-88.42665,Hebron,America/Chicago
60035,42.18358,-87.8106,Highland Park,America/Chicago
60040,42.20652,-87.81274,Highwood,America/Chicago
60041,42.36939,-88.15309,Ingleside,America/Chicago
60042,42.27913,-88.19777,Island Lake,America/Chicago
60043,42.08882,-87.71445,Kenilworth,America/Chicago
60044,42.2842,-87.86392,Lake Bluff,America/Chicago
60045,42.23807,-87.87006,Lake Forest,America/Chicago
60046,42.41572,-88.06094,Lake Villa,America/Chicago
60047,42.20202,-88.04522,Lake Zurich,America/Chicago
60048,42.29494,-87.9466,Libertyville,America/Chicago
60050,42.32915,-88.29363,Mchenry,America/Chicago
60051,42.35099,-88.22412,Mchenry,America/Chicago
60053,42.04224,-87.78895,Morton Grove,America/Chicago
60056,42.06618,-87.93473,Mount Prospect,America/Chicago
60060,42.26945,-88.03997,Mundelein,America/Chicago
60061,42.2334,-87.96046,Vernon Hills,America/Chicago
60062,42.12663,-87.84235,Northbrook,America/Chicago
60064,42.3237,-87.86122,North Chicago,America/Chicago
60067,42.10773,-88.06478,Palatine,America/Chicago
60068,42.01276,-87.84435,Park Ridge,America/Chicago
60069,42.19588,-87.92439,Lincolnshire,America/Chicago
60070,42.10406,-87.92768,Prospect Heights,America/Chicago
60071,42.46403,-88.30975,Richmond,America/Chicago
60072,42.40647,-88.30637,Ringwood,America/Chicago
60073,42.3516,-88.10597,Round Lake,America/Chicago
60074,42.13179,-88.02658,Palatine,America/Chicago
60075,42.49245,-87.91205,Russell,America/Chicago
60076,42.03412,-87.72943,Skokie,America/Chicago
