zip,lat,lng,city,timezone
30002,33.77309,-84.26093,Avondale Estates,America/New_York
30004,34.14352,-84.29926,Alpharetta,America/New_York
30005,34.08582,-84.22158,Alpharetta,America/New_York
30008,33.8966,-84.58847,Marietta,America/New_York
30009,34.07711,-84.3029,Alpharetta,America/New_York
30011,34.02281,-83.8364,Auburn,America/New_York
30012,33.71739,-83.99913,Conyers,America/New_York
30013,33.643,-83.97147,Conyers,America/New_York
30014,33.58109,-83.8191,Covington,America/New_York
30016,33.51836,-83.93073,Covington,America/New_York
30017,33.88939,-83.96348,Grayson,America/New_York
30018,33.71737,-83.80034,Jersey,America/New_York
30019,33.97642,-83.88252,Dacula,America/New_York
30021,33.80803,-84.23909,Clarkston,America/New_York
30022,34.02745,-84.24643,Alpharetta,America/New_York
30024,34.06341,-84.09116,Suwanee,America/New_York
30025,33.65689,-83.69869,Social Circle,America/New_York
30028,34.28928,-84.17985,Cumming,America/New_York
30030,33.7721,-84.29135,Decatur,America/New_York
30032,33.73987,-84.2641,Decatur,America/New_York
30033,33.81342,-84.28355,Decatur,America/New_York
30034,33.69198,-84.24835,Decatur,America/New_York
30035,33.72563,-84.20541,Decatur,America/New_York
30038,33.67078,-84.14209,Lithonia,America/New_York
30039,33.79871,-84.03414,Snellville,America/New_York
30040,34.21622,-84.17978,Cumming,America/New_York
30041,34.20166,-84.09371,Cumming,America/New_York
30043,34.00353,-84.00703,Lawrenceville,America/New_York
30044,33.92207,-84.06924,Lawrenceville,America/New_York
30045,33.93046,-83.93019,Lawrenceville,America/New_York
30046,33.9497,-83.99389,Lawrenceville,America/New_York
30047,33.87104,-84.11304,Lilburn,America/New_York
30052,33.81654,-83.89538,Loganville,America/New_York
30054,33.67651,-83.87558,Oxford,America/New_York
30055,33.49055,-83.74224,Mansfield,America/New_York
30056,33.49496,-83.65068,Newborn,America/New_York
30058,33.7377,-84.10779,Lithonia,America/New_York
30060,33.9209,-84.543,Marietta,America/New_York
30062,33.99977,-84.46899,Marietta,America/New_York
30064,33.93809,-84.61691,Marietta,America/New_York
30066,34.034,-84.50798,Marietta,America/New_York
30067,33.93286,-84.46187,Marietta,America/New_York
30068,33.96887,-84.43273,Marietta,America/New_York
30070,33.5733,-83.89546,Porterdale,America/New_York
30071,33.93977,-84.20561,Norcross,America/New_York
30072,33.79115,-84.20598,Pine Lake,America/New_York
30075,34.05282,-84.38739,Roswell,America/New_York
30076,34.02777,-84.31723,Roswell,America/New_York
30078,33.86118,-84.01795,Snellville,America/New_York
30079,33.79173,-84.25839,Scottdale,America/New_York
30080,33.87864,-84.5053,Smyrna,America/New_York
30082,33.85517,-84.5373,Smyrna,America/New_York
30083,33.79641,-84.19231,Stone Mountain,America/New_York
30084,33.85457,-84.21657,Tucker,America/New_York
30087,33.81087,-84.13135,Stone Mountain,America/New_York
30088,33.75959,-84.17918,Stone Mountain,America/New_York
30090,33.953,-84.54837,Marietta,America/New_York
30092,33.97145,-84.23537,Peachtree Corners,America/New_York
30093,33.90879,-84.17839,Norcross,America/New_York
30094,33.61243,-84.0555,Conyers,America/New_York
30096,33.97691,-84.14791,Duluth,America/New_York
30097,34.0271,-84.14702,Duluth,America/New_York
30101,34.04355,-84.71244,Acworth,America/New_York
30102,34.10857,-84.64622,Acworth,America/New_York
30103,34.36457,-84.92014,Adairsville,America/New_York
30104,34.0879,-85.06982,Aragon,America/New_York
30105,34.47012,-85.15532,Armuchee,America/New_York
30106,33.83476,-84.62947,Austell,America/New_York
30107,34.3352,-84.34744,Ball Ground,America/New_York
30108,33.53172,-85.26242,Bowdon,America/New_York
30110,33.74071,-85.137,Bremen,America/New_York
